phase,nu,method,n_attempts,theta_used,iters,status,time_at_nu,cumulative_time
1,1.0,NewtonPicard,1,0.8,11,converged,39.1,39.1
1,0.3,NewtonPicard,1,0.8,11,converged,43.3,82.4
1,0.1,NewtonPicard,1,0.8,19,converged,77.5,159.8
1,0.03,NewtonPicard,4,0.5,102,converged,625.3,785.2
1,0.01,NewtonPicard,3,0.3,51,converged,436.3,1221.5
2,0.003,NewtonPicard,4,,11,stalled,422.7,1644.3
3,0.01,GlobalNewton,1,,2,converged,1164.9,2809.2
4,0.003,GlobalNewton,1,,5,converged,5275.6,8084.8
4,0.001,GlobalNewton,1,,5,converged,4838.0,12922.8
4,0.0003,GlobalNewton,1,,4,converged,3314.7,16237.5
4,0.0001,GlobalNewton,1,,4,converged,3325.9,19563.5
