-2.000000000000000000e+00 2.653333333333333321e+00 2.591857693808784724e+00
-1.979999999999999982e+00 2.573733333333333206e+00 2.517267379887752732e+00
-1.959999999999999964e+00 2.494933333333333003e+00 2.442723326516355264e+00
-1.939999999999999947e+00 2.416933333333332712e+00 2.368377761009641702e+00
-1.919999999999999929e+00 2.339733333333333221e+00 2.294351185039348984e+00
-1.899999999999999911e+00 2.263333333333332753e+00 2.220739417812094274e+00
-1.879999999999999893e+00 2.187733333333333086e+00 2.147618865421059731e+00
-1.859999999999999876e+00 2.112933333333332442e+00 2.075050549772515573e+00
-1.840000000000000080e+00 2.038933333333333486e+00 2.003083235940755547e+00
-1.820000000000000062e+00 1.965733333333333555e+00 1.931755886087490159e+00
-1.800000000000000044e+00 1.893333333333333535e+00 1.861099600358911532e+00
-1.780000000000000027e+00 1.821733333333333427e+00 1.791139161274543312e+00
-1.760000000000000009e+00 1.750933333333333231e+00 1.721894268319845045e+00
-1.739999999999999991e+00 1.680933333333333390e+00 1.653380528471865674e+00
-1.719999999999999973e+00 1.611733333333333018e+00 1.585610253186766849e+00
-1.699999999999999956e+00 1.543333333333333002e+00 1.518593101118422162e+00
-1.679999999999999938e+00 1.475733333333332897e+00 1.452336597350163627e+00
-1.659999999999999920e+00 1.408933333333333149e+00 1.386846553435912455e+00
-1.640000000000000124e+00 1.342933333333333756e+00 1.322127407535959476e+00
-1.620000000000000107e+00 1.277733333333333832e+00 1.258182500026828965e+00
-1.600000000000000089e+00 1.213333333333333819e+00 1.195014296898221362e+00
-1.580000000000000071e+00 1.149733333333333718e+00 1.132624570828080657e+00
-1.560000000000000053e+00 1.086933333333333529e+00 1.071014547904282521e+00
-1.540000000000000036e+00 1.024933333333333252e+00 1.010185026428698452e+00
-1.520000000000000018e+00 9.637333333333332197e-01 9.501364730128734060e-01
-1.500000000000000000e+00 9.033333333333332105e-01 8.908691001898796369e-01
-1.479999999999999982e+00 8.437333333333331131e-01 8.323829289741182524e-01
-1.459999999999999964e+00 7.849333333333329277e-01 7.746778391609071557e-01
-1.439999999999999947e+00 7.269333333333330982e-01 7.177536096399648180e-01
-1.419999999999999929e+00 6.697333333333331806e-01 6.616099505771849687e-01
-1.399999999999999911e+00 6.133333333333329529e-01 6.062465289782148492e-01
-1.379999999999999893e+00 5.577333333333328591e-01 5.516629888700195217e-01
-1.359999999999999876e+00 5.029333333333328993e-01 4.978589671106842252e-01
