======================================================================================================================
   TRAFFIC LIGHT MFG EXAMPLE (Picard)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.02, beta = 2, penalty = 150.0
Solver Parameters:
  PICARD_MAX_ITER = 250, PICARD_TOL = 1e-06
  DAMPING = 0.1
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
Grid Info:
  dt = 0.010000, dx = 0.005000
Problem Specific Parameters:
  light_position = 0.5, light_active_interval = [0.3, 0.7]
  light_penalty = 150.0, light_width = 0.05
  Hamiltonian = Godunov discretization of 0.5*p^2, boundary = conservative homogeneous Neumann
  initial_density = normalized exp(-(x-0.1)^2/0.01)
  terminal_cost = 5.0*(x-1.0)^2
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)  
37    | 1.5945e-02   | 1.1002e-02   | 4.2106e-02   | 3.4626e-02   | 431        | 0.2736
38    | 1.5488e-02   | 1.0586e-02   | 4.1825e-02   | 3.4435e-02   | 428        | 0.1993
39    | 1.4812e-02   | 1.0032e-02   | 4.0771e-02   | 3.3616e-02   | 425        | 0.2267
40    | 1.3828e-02   | 9.2823e-03   | 3.8042e-02   | 3.1412e-02   | 419        | 0.2123
41    | 1.2872e-02   | 8.5685e-03   | 3.2703e-02   | 2.7039e-02   | 417        | 0.2019
42    | 1.1988e-02   | 7.9207e-03   | 2.4350e-02   | 2.0156e-02   | 413        | 0.2042
43    | 1.1565e-02   | 7.5909e-03   | 1.9251e-02   | 1.5950e-02   | 411        | 0.2021
44    | 1.1297e-02   | 7.3724e-03   | 2.3745e-02   | 1.9690e-02   | 409        | 0.2006
45    | 1.0871e-02   | 7.0539e-03   | 2.6926e-02   | 2.2348e-02   | 411        | 0.2144
46    | 1.0309e-02   | 6.6493e-03   | 2.3559e-02   | 1.9577e-02   | 415        | 0.2052
47    | 9.5150e-03   | 6.1014e-03   | 2.1936e-02   | 1.8254e-02   | 415        | 0.2152
48    | 8.7137e-03   | 5.5575e-03   | 2.2423e-02   | 1.8689e-02   | 418        | 0.1949
49    | 7.9442e-03   | 5.0416e-03   | 2.0487e-02   | 1.7099e-02   | 415        | 0.1952
50    | 7.1678e-03   | 4.5284e-03   | 1.6060e-02   | 1.3416e-02   | 415        | 0.1906
51    | 6.4479e-03   | 4.0576e-03   | 1.1516e-02   | 9.6229e-03   | 415        | 0.1965
52    | 5.7054e-03   | 3.5784e-03   | 1.0542e-02   | 8.8091e-03   | 414        | 0.2178
53    | 5.0562e-03   | 3.1620e-03   | 1.2449e-02   | 1.0400e-02   | 415        | 0.1787
54    | 4.7922e-03   | 2.9889e-03   | 1.2865e-02   | 1.0743e-02   | 415        | 0.1694
55    | 4.8158e-03   | 2.9956e-03   | 1.0446e-02   | 8.7198e-03   | 416        | 0.1770
56    | 4.8293e-03   | 2.9959e-03   | 7.8378e-03   | 6.5405e-03   | 416        | 0.1740
57    | 4.6710e-03   | 2.8899e-03   | 8.1003e-03   | 6.7593e-03   | 415        | 0.1812
58    | 4.3222e-03   | 2.6674e-03   | 9.0474e-03   | 7.5511e-03   | 415        | 0.1796
59    | 3.9084e-03   | 2.4063e-03   | 8.0686e-03   | 6.7364e-03   | 411        | 0.1699
60    | 3.5425e-03   | 2.1764e-03   | 5.6809e-03   | 4.7443e-03   | 408        | 0.1685
61    | 3.2047e-03   | 1.9653e-03   | 4.3509e-03   | 3.6343e-03   | 406        | 0.1639
62    | 2.8267e-03   | 1.7308e-03   | 4.9281e-03   | 4.1170e-03   | 405        | 0.1657
63    | 2.4342e-03   | 1.4883e-03   | 5.1539e-03   | 4.3057e-03   | 407        | 0.1630
64    | 2.1185e-03   | 1.2937e-03   | 4.2929e-03   | 3.5864e-03   | 408        | 0.1644
