======================================================================================================================
   TRAFFIC LIGHT MFG EXAMPLE (Picard)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.02, beta = 2, penalty = 150.0
Solver Parameters:
  PICARD_MAX_ITER = 250, PICARD_TOL = 1e-06
  DAMPING = 0.3
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
Grid Info:
  dt = 0.010000, dx = 0.005000
Problem Specific Parameters:
  light_position = 0.5, light_active_interval = [0.3, 0.7]
  light_penalty = 150.0, light_width = 0.05
  Hamiltonian = Godunov discretization of 0.5*p^2, boundary = conservative homogeneous Neumann
  initial_density = normalized exp(-(x-0.1)^2/0.01)
  terminal_cost = 5.0*(x-1.0)^2
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)  
----------------------------------------------------------------------------------------------------------------------
1     | 2.9368e-01   | 1.0000e+00   | 7.9406e-01   | 3.6870e-01   | 392        | 0.1616
2     | 2.3609e-01   | 8.0390e-01   | 6.7659e-01   | 4.0543e-01   | 440        | 0.1773
3     | 1.8003e-01   | 3.4305e-01   | 6.4140e-01   | 4.5929e-01   | 423        | 0.1730
4     | 1.9129e-01   | 2.7620e-01   | 3.4605e-01   | 2.5805e-01   | 467        | 0.1923
5     | 2.0221e-01   | 2.4895e-01   | 4.9859e-01   | 3.8546e-01   | 461        | 0.1927
6     | 1.3802e-01   | 1.4389e-01   | 4.8977e-01   | 3.7999e-01   | 476        | 0.1955
7     | 9.5258e-02   | 8.8432e-02   | 3.3057e-01   | 2.5158e-01   | 457        | 0.1871
8     | 8.1241e-02   | 7.0064e-02   | 2.8871e-01   | 2.2334e-01   | 439        | 0.1781
9     | 8.7313e-02   | 7.0930e-02   | 2.5700e-01   | 2.0617e-01   | 418        | 0.1729
10    | 9.0470e-02   | 6.9826e-02   | 2.7446e-01   | 2.2337e-01   | 415        | 0.1679
11    | 5.7913e-02   | 4.2489e-02   | 1.6519e-01   | 1.3512e-01   | 430        | 0.1809
12    | 5.7265e-02   | 4.0592e-02   | 1.9695e-01   | 1.6155e-01   | 435        | 0.1848
13    | 3.6656e-02   | 2.5156e-02   | 1.5328e-01   | 1.2520e-01   | 421        | 0.1717
14    | 5.0598e-02   | 3.4068e-02   | 2.0819e-01   | 1.7110e-01   | 415        | 0.1750
15    | 3.8286e-02   | 2.5398e-02   | 1.8363e-01   | 1.5051e-01   | 424        | 0.1725
16    | 3.4124e-02   | 2.2424e-02   | 1.1592e-01   | 9.6178e-02   | 418        | 0.1740
17    | 3.3377e-02   | 2.1564e-02   | 1.3174e-01   | 1.0912e-01   | 433        | 0.1757
18    | 2.2102e-02   | 1.4047e-02   | 8.0686e-02   | 6.7106e-02   | 416        | 0.1704
19    | 2.9349e-02   | 1.8506e-02   | 8.9829e-02   | 7.4771e-02   | 415        | 0.1727
20    | 2.0500e-02   | 1.2770e-02   | 1.1134e-01   | 9.2508e-02   | 424        | 0.1756
21    | 1.7231e-02   | 1.0673e-02   | 9.6213e-02   | 8.0362e-02   | 409        | 0.1667
22    | 1.6675e-02   | 1.0325e-02   | 9.4260e-02   | 7.8475e-02   | 417        | 0.1775
23    | 2.0985e-02   | 1.2928e-02   | 1.1157e-01   | 9.3038e-02   | 414        | 0.1759
24    | 2.2467e-02   | 1.3805e-02   | 1.1084e-01   | 9.2135e-02   | 423        | 0.1987
25    | 1.7533e-02   | 1.0768e-02   | 8.5447e-02   | 7.1291e-02   | 415        | 0.1776
26    | 1.6261e-02   | 9.9876e-03   | 8.9773e-02   | 7.4664e-02   | 414        | 0.1739
27    | 2.1452e-02   | 1.3168e-02   | 1.0498e-01   | 8.7557e-02   | 413        | 0.1803
28    | 2.2623e-02   | 1.3875e-02   | 1.0197e-01   | 8.4790e-02   | 417        | 0.1872
29    | 1.9266e-02   | 1.1840e-02   | 9.1369e-02   | 7.6143e-02   | 414        | 0.1836
30    | 1.9860e-02   | 1.2196e-02   | 1.0604e-01   | 8.8107e-02   | 412        | 0.1822
31    | 2.4380e-02   | 1.4981e-02   | 1.1870e-01   | 9.8901e-02   | 414        | 0.1855
32    | 2.5420e-02   | 1.5660e-02   | 1.1016e-01   | 9.1502e-02   | 418        | 0.1778
33    | 2.1165e-02   | 1.3049e-02   | 1.0582e-01   | 8.8161e-02   | 414        | 0.1792
34    | 2.4139e-02   | 1.4874e-02   | 1.2500e-01   | 1.0378e-01   | 417        | 0.1774
35    | 2.8768e-02   | 1.7736e-02   | 1.4063e-01   | 1.1711e-01   | 411        | 0.1742
36    | 2.7840e-02   | 1.7236e-02   | 1.1971e-01   | 9.9280e-02   | 419        | 0.1781
37    | 2.1974e-02   | 1.3601e-02   | 1.1026e-01   | 9.1721e-02   | 418        | 0.1777
