rho,error
1.0000e-01,8.0000e-02
5.0000e-02,4.5000e-02
1.0000e-02,9.8000e-03
5.0000e-03,4.9500e-03
1.0000e-03,9.9800e-04
5.0000e-04,4.9950e-04
1.0000e-04,9.9980e-05
